域,row,intent,query,gold_tool,gold_params,pred_tool,pred_params,tool_ok,param_ok,both_ok,param_diff
影视,影视2,vod_keyword_search,播放大生意人,vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""大生意人""}, ""retext"": ""播放大生意人""}",vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""大生意人""}, ""retext"": ""播放大生意人""}",Y,Y,Y,
影视,影视3,vod_keyword_search,给我放战狼2,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""战狼""}, {""field"": ""series"", ""value"": 2}]}, ""retext"": ""给我放战狼2""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""战狼""}, {""field"": ""series"", ""value"": 2}]}, ""retext"": ""给我放战狼2""}",Y,Y,Y,
影视,影视4,vod_keyword_search,放第1集哑巴新娘,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""哑巴新娘""}, {""field"": ""video_index"", ""value"": 1}]}, ""retext"": ""放第1集哑巴新娘""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""哑巴新娘""}, {""field"": ""video_index"", ""value"": 1}]}, ""retext"": ""放第1集哑巴新娘""}",Y,Y,Y,
影视,影视6,vod_keyword_search,我要看海王第55分钟,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""海王""}, {""field"": ""voiceStartPos"", ""value"": 3300}]}, ""retext"": ""我要看海王第55分钟""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""海王""}, {""field"": ""voiceStartPos"", ""value"": 3300}]}, ""retext"": ""我要看海王第55分钟""}",Y,Y,Y,
影视,影视7,vod_keyword_search,免费的电视剧英雄泪,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""英雄泪""}, {""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""is_fee"", ""value"": 0}]}, ""retext"": ""免费的电视剧英雄泪""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""英雄泪""}, {""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""is_fee"", ""value"": 0}]}, ""retext"": ""免费的电视剧英雄泪""}",Y,Y,Y,
影视,影视5,vod_keyword_search,生万物第3集第10分钟,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""生万物""}, {""field"": ""video_index"", ""value"": 3}, {""field"": ""voiceStartPos"", ""value"": 600}]}, ""retext"": ""生万物第3集第10分钟""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""生万物""}, {""field"": ""video_index"", ""value"": 3}, {""field"": ""voiceStartPos"", ""value"": 600}]}, ""retext"": ""生万物第3集第10分钟""}",Y,Y,Y,
影视,影视9,vod_keyword_search,新出的陈翔六点半,vod_search,"{""action"": ""search"", ""query"": {""field"": ""title"", ""value"": ""陈翔六点半""}, ""retext"": ""新出的陈翔六点半"", ""sort"": {""new"": {""order"": ""desc""}}}",vod_search,"{""action"": ""search"", ""query"": {""field"": ""title"", ""value"": ""陈翔六点半""}, ""retext"": ""新出的陈翔六点半"", ""sort"": {""new"": {""order"": ""desc""}}}",Y,Y,Y,
影视,影视8,vod_keyword_search,请播黄河在咆哮谢谢,vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""黄河在咆哮""}, ""retext"": ""请播黄河在咆哮谢谢""}",vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""黄河在咆哮""}, ""retext"": ""请播黄河在咆哮谢谢""}",Y,Y,Y,
影视,影视10,vod_keyword_search,小度小度播放电视剧用一生去爱你,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""用一生去爱你""}, {""field"": ""category"", ""value"": ""电视剧""}]}, ""retext"": ""小度小度播放电视剧用一生去爱你""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""用一生去爱你""}, {""field"": ""category"", ""value"": ""电视剧""}]}, ""retext"": ""小度小度播放电视剧用一生去爱你""}",Y,Y,Y,
影视,影视11,vod_keyword_search,我要看庆余年第二季第三集,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""庆余年""}, {""field"": ""series"", ""value"": 2}, {""field"": ""video_index"", ""value"": 3}]}, ""retext"": ""我要看庆余年第二季第三集""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""庆余年""}, {""field"": ""series"", ""value"": 2}, {""field"": ""video_index"", ""value"": 3}]}, ""retext"": ""我要看庆余年第二季第三集""}",Y,Y,Y,
影视,影视14,vod_keyword_search,找到人间世的纪录片全集,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""人间世""}, {""field"": ""category"", ""value"": ""纪录片""}]}, ""retext"": ""找到人间世的纪录片全集""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""人间世""}, {""field"": ""category"", ""value"": ""纪录片""}]}, ""retext"": ""找到人间世的纪录片全集""}",Y,Y,Y,
影视,影视12,vod_keyword_search,播放电影封神第一部第34分,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""封神""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""series"", ""value"": 1}, {""field"": ""voiceStartPos"", ""value"": 2040}]}, ""retext"": ""播放电影封神第一部第34分""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""封神""}, {""field"": ""series"", ""value"": 1}, {""field"": ""voiceStartPos"", ""value"": 2040}, {""field"": ""category"", ""value"": ""电影""}]}, ""retext"": ""播放电影封神第一部第34分""}",Y,Y,Y,
影视,影视13,vod_keyword_search,播放不是VIP的最强大脑第七季第十集,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""最强大脑""}, {""field"": ""is_fee"", ""value"": 0}, {""field"": ""series"", ""value"": 7}, {""field"": ""video_index"", ""value"": 10}]}, ""retext"": ""播放不是VIP的最强大脑第七季第十集""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""最强大脑""}, {""field"": ""series"", ""value"": 7}, {""field"": ""video_index"", ""value"": 10}, {""field"": ""is_fee"", ""value"": 0}]}, ""retext"": ""播放不是VIP的最强大脑第七季第十集""}",Y,Y,Y,
影视,影视15,vod_keyword_search,以家人之名DVD版,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""以家人之名""}, {""field"": ""tag"", ""value"": ""dvd版""}]}, ""retext"": ""以家人之名dvd版""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""以家人之名""}, {""field"": ""tag"", ""value"": ""dvd版""}]}, ""retext"": ""以家人之名DVD版""}",Y,N,N,"retext: gold=""以家人之名dvd版"" pred=""以家人之名DVD版"""
影视,影视16,vod_keyword_search,真人版的狐妖小红娘,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""狐妖小红娘""}, {""field"": ""tag"", ""value"": ""真人版""}]}, ""retext"": ""真人版的狐妖小红娘""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""狐妖小红娘""}, {""field"": ""tag"", ""value"": ""真人版""}]}, ""retext"": ""真人版的狐妖小红娘""}",Y,Y,Y,
影视,影视24,vod_keyword_search,BBC纪录片,vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""company"", ""value"": ""BBC""}, {""field"": ""category"", ""value"": ""纪录片""}]}, ""retext"": ""BBC纪录片""}",vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""纪录片""}, {""field"": ""company"", ""value"": ""BBC""}]}, ""retext"": ""BBC纪录片""}",Y,Y,Y,
影视,影视22,vod_keyword_search,请播放秦腔三滴血,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""三滴血""}, {""field"": ""tag"", ""value"": ""秦腔""}]}, ""retext"": ""请播放秦腔三滴血""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""三滴血""}, {""field"": ""tag"", ""value"": ""秦腔""}]}, ""retext"": ""请播放秦腔三滴血""}",Y,Y,Y,
影视,影视18,vod_keyword_search,小敏家TV版,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""小敏家""}, {""field"": ""tag"", ""value"": ""tv版""}]}, ""retext"": ""小敏家TV版""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""小敏家""}, {""field"": ""tag"", ""value"": ""tv版""}]}, ""retext"": ""小敏家TV版""}",Y,Y,Y,
影视,影视19,vod_keyword_search,老版上海滩,vod_search,"{""action"": ""search"", ""query"": {""field"": ""title"", ""value"": ""上海滩""}, ""retext"": ""老版上海滩""}",vod_search,"{""action"": ""search"", ""query"": {""field"": ""title"", ""value"": ""上海滩""}, ""retext"": ""老版上海滩""}",Y,Y,Y,
影视,影视21,vod_keyword_search,我想看戏曲铡美案,vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""铡美案""}, {""field"": ""category"", ""value"": ""戏曲""}]}, ""retext"": ""我想看戏曲铡美案""}",vod_search,"{""action"": ""play"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""铡美案""}, {""field"": ""category"", ""value"": ""戏曲""}]}, ""retext"": ""我想看戏曲铡美案""}",Y,Y,Y,
影视,影视23,vod_keyword_search,专题片将改革进行到底,vod_search,"{""action"": ""search"", ""query"": {""field"": ""title"", ""value"": ""将改革进行到底""}, ""retext"": ""专题片将改革进行到底""}",vod_search,"{""action"": ""search"", ""query"": {""field"": ""title"", ""value"": ""将改革进行到底""}, ""retext"": ""专题片将改革进行到底""}",Y,Y,Y,
影视,影视25,vod_keyword_search,湖南卫视出品的综艺,vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""channel"", ""value"": ""湖南卫视""}, {""field"": ""category"", ""value"": ""综艺""}]}, ""retext"": ""湖南卫视出品的综艺""}",vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""channel"", ""value"": ""湖南卫视""}, {""field"": ""category"", ""value"": ""综艺""}]}, ""retext"": ""湖南卫视出品的综艺""}",Y,Y,Y,
影视,影视26,vod_vague_search,正午阳光出品的电视剧,vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""company"", ""value"": ""正午阳光""}, {""field"": ""category"", ""value"": ""电视剧""}]}, ""retext"": ""正午阳光出品的电视剧""}",vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""company"", ""value"": ""正午阳光""}]}, ""retext"": ""正午阳光出品的电视剧""}",Y,Y,Y,
影视,影视29,vod_keyword_search,张艺谋导演的抗战片,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""director"", ""value"": ""张艺谋""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""tag"", ""value"": ""抗战""}]}, ""retext"": ""张艺谋导演的抗战片""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""director"", ""value"": ""张艺谋""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""tag"", ""value"": ""抗战""}]}, ""retext"": ""张艺谋导演的抗战片""}",Y,Y,Y,
影视,影视27,vod_keyword_search,我想看电视台同步在播的剧,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""is_over"", ""value"": 0}]}, ""retext"": ""我想看电视台同步在播的剧""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""is_over"", ""value"": 0}]}, ""retext"": ""我想看电视台同步在播的剧""}",Y,Y,Y,
影视,影视28,vod_keyword_search,光线传媒2025年有哪些电影,vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""company"", ""value"": ""光线传媒""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""release_time"", ""from"": ""20250101"", ""to"": ""20251231""}]}, ""retext"": ""光线传媒2025年有哪些电影""}",vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电影""}, {""field"": ""company"", ""value"": ""光线传媒""}, {""field"": ""release_time"", ""from"": ""20250101"", ""to"": ""20251231""}]}, ""retext"": ""光线传媒2025年有哪些电影""}",Y,Y,Y,
影视,影视31,vod_keyword_search,郑晓龙导演的古装剧,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""director"", ""value"": ""郑晓龙""}, {""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""tag"", ""value"": ""古装""}]}, ""retext"": ""郑晓龙导演的古装剧""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""director"", ""value"": ""郑晓龙""}, {""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""tag"", ""value"": ""古装""}]}, ""retext"": ""郑晓龙导演的古装剧""}",Y,Y,Y,
影视,影视34,vod_keyword_search,我想看韩剧,vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""area"", ""value"": ""韩国""}, {""field"": ""category"", ""value"": ""电视剧""}]}, ""retext"": ""我想看韩剧""}",vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""area"", ""value"": ""韩国""}, {""field"": ""category"", ""value"": ""电视剧""}]}, ""retext"": ""我想看韩剧""}",Y,Y,Y,
影视,影视33,vod_keyword_search,TVB新剧,vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""company"", ""value"": ""tvb""}, {""field"": ""category"", ""value"": ""电视剧""}]}, ""retext"": ""TVB新剧"", ""sort"": {""new"": {""order"": ""desc""}}}",vod_search_all,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电视剧""}, {""field"": ""company"", ""value"": ""tvb""}]}, ""retext"": ""TVB新剧"", ""sort"": {""new"": {""order"": ""desc""}}}",Y,Y,Y,
影视,影视30,vod_keyword_search,查找斯皮尔伯格导演的电影,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""director"", ""value"": ""斯皮尔伯格""}, {""field"": ""category"", ""value"": ""电影""}]}, ""retext"": ""查找斯皮尔伯格导演的电影""}",vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""director"", ""value"": ""斯皮尔伯格""}, {""field"": ""category"", ""value"": ""电影""}]}, ""retext"": ""查找斯皮尔伯格导演的电影""}",Y,Y,Y,
