域,row,intent,query,gold_tool,gold_params,pred_tool,pred_params,tool_ok,param_ok,both_ok,param_diff
设备,设备14,tv_control,打开超解像演示,demo_control,"{""device"": """", ""location"": """", ""object"": ""超解像演示"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""超解像演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备2,tv_control,打开demo演示,demo_control,"{""device"": """", ""location"": """", ""object"": ""demo演示"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""demo演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备15,tv_control,打开WAVES音效,audio_control,"{""device"": """", ""location"": """", ""object"": ""waves音效"", ""operation"": ""打开"", ""value"": """"}",audio_control,"{""device"": """", ""location"": """", ""object"": ""waves音效"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备4,tv_control,打开ULED超画质演示,demo_control,"{""device"": """", ""location"": """", ""object"": ""uled超画质演示"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""uled超画质演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备16,tv_control,打开臻彩高色域,display_control,"{""device"": """", ""location"": """", ""object"": ""臻彩高色域"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""臻彩高色域"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备6,tv_control,打开背光分区,display_control,"{""device"": """", ""location"": """", ""object"": ""背光分区"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""背光分区"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备9,tv_control,打开全程HDR,display_control,"{""device"": """", ""location"": """", ""object"": ""全程hdr"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""全程hdr"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备7,tv_control,打开图像分区,display_control,"{""device"": """", ""location"": """", ""object"": ""图像分区"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""图像分区"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备13,tv_control,打开超高清演示,demo_control,"{""device"": """", ""location"": """", ""object"": ""超高清演示"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""超高清演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备8,tv_control,打开量子点四维真实还原系统,display_control,"{""device"": """", ""location"": """", ""object"": ""量子点四维真实还原系统"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""量子点四维真实还原系统"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备10,tv_control,打开智能运动侦测,display_control,"{""device"": """", ""location"": """", ""object"": ""智能运动侦测"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""智能运动侦测"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备17,tv_control,打开系统信息演示,demo_control,"{""device"": """", ""location"": """", ""object"": ""系统信息演示"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""系统信息演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备11,tv_control,打开超清在线解析,display_control,"{""device"": """", ""location"": """", ""object"": ""超清在线解析"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""超清在线解析"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备12,tv_control,打开2K转4K演示,demo_control,"{""device"": """", ""location"": """", ""object"": ""2k转4k演示"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""2k转4k演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备5,tv_control,打开12bit精晰布光,display_control,"{""device"": """", ""location"": """", ""object"": ""12bit精晰布光"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""12bit精晰布光"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备3,tv_control,打开图卡demo,demo_control,"{""device"": """", ""location"": """", ""object"": ""图卡demo"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""图卡demo"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备19,tv_control,打开真实色彩还原,display_control,"{""device"": """", ""location"": """", ""object"": ""真实色彩还原"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""真实色彩还原"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备18,tv_control,打开量子点真实色彩还原,display_control,"{""device"": """", ""location"": """", ""object"": ""量子点真实色彩还原"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""量子点真实色彩还原"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备20,tv_control,打开多层次细节增强演示,display_control,"{""device"": """", ""location"": """", ""object"": ""多层次细节增强演示"", ""operation"": ""打开"", ""value"": """"}",display_control,"{""device"": """", ""location"": """", ""object"": ""多层次细节增强演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
设备,设备21,tv_control,打开晶彩色控演示,demo_control,"{""device"": """", ""location"": """", ""object"": ""晶彩色控演示"", ""operation"": ""打开"", ""value"": """"}",demo_control,"{""device"": """", ""location"": """", ""object"": ""晶彩色控演示"", ""operation"": ""打开"", ""value"": """"}",Y,Y,Y,
