row,domain,intent,query,gold_bright_tool,gold_bright_params,pred_bright_tool,pred_bright_params,bright_tool_ok,bright_param_ok,bright_both_ok,bright_param_diff,b_err,gold_off_tool,gold_off_params,pred_off_tool,pred_off_params,off_tool_ok,off_param_ok,off_both_ok,off_param_diff,o_err
41,education,学科查询,小学素质课,edu_slow_search_data_search,"{""query"": ""小学素质课""}",edu_slow_search_data_search,"{""query"": ""小学素质课""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""小学素质课"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
39,education,学科查询,小学数学内容,edu_search,"{""_raw"": ""{\n  \""retext\"": \""小学数学内容\""\n  \""query\"": {\n    \""and\"": [\n      {\n        \""field\"": \""figures\"",\n        \""value\"": \""小学\""\n      },\n      {\n        \""field\"": \""first_subject\"",\n        \""value\"": \""数学\""\n      },\n    {\n      \""field\"": \""k12_category\"",\n      \""values\"": [\""同步课\"", \""同步拓展课\""],\n      \""operator\"": \""or\""\n    }\n    ]\n  }\n}""}",edu_search,"{""query"": {""and"": [{""field"": ""figures"", ""value"": ""小学""}, {""field"": ""first_subject"", ""value"": ""数学""}, {""field"": ""k12_category"", ""operator"": ""or"", ""values"": [""同步课"", ""同步拓展课""]}]}}",Y,N,N,"_raw: gold=""{\n  \""retext\"": \""小学数学内容\""\n  \""query\"": {\n    \""and\"": [\n      {\n        \""field\"": \""figures\"",\n        \""value\"": \""小学\""\n      },\n      {\n        \""field\"": \""first_subject\"",\n        \""value\"": \""数学\""\n      },\n    {\n      \""field\"": \""k12_category\"",\n      \""values\"": [\""同步课\"", \""同步拓展课\""],\n      \""operator\"": \""or\""\n    }\n    ]\n  }\n}"" pred=; query: gold= pred={""and"": [{""field"": ""figures"", ""value"": ""小学""}, {""field"": ""first_subject"", ""value"": ""数学""}, {""field"": ""k12_category"", ""operator"": ""or"", ""values"": [""同步拓展课"", ""同步课""]}]}",,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""小学数学内容"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""education_qa""}",Y,Y,Y,,
44,education,学科查询,小升初英语辅导课,edu_slow_search_data_search,"{""query"": ""小升初英语辅导课t""}",edu_slow_search_data_search,"{""query"": ""小升初英语辅导课t""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""小升初英语辅导课"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
51,education,按知识点查询,直角三角形的面积,edu_slow_search_data_search,"{""query"": ""直角三角形的面积""}",fan_knowledge_agent,"{""messages"": [{""content"": ""直角三角形的面积"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",N,N,N,"messages: gold= pred=[{""content"": ""直角三角形的面积"", ""role"": ""user""}]; need_media: gold= pred=; query: gold=""直角三角形的面积"" pred=; riskRespStrategy: gold= pred=""all_replace""; sceneType: gold= pred=""knowledge_qa""",,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""直角三角形的面积"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
47,education,按知识点查询,游泳安全知识,edu_slow_search_data_search,"{""query"": ""游泳安全知识""}",fan_knowledge_agent,"{""messages"": [{""content"": ""游泳安全知识"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",N,N,N,"messages: gold= pred=[{""content"": ""游泳安全知识"", ""role"": ""user""}]; need_media: gold= pred=; query: gold=""游泳安全知识"" pred=; riskRespStrategy: gold= pred=""all_replace""; sceneType: gold= pred=""knowledge_qa""",,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""游泳安全知识"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
45,education,学科查询,高中生物理考点精讲,edu_slow_search_data_search,"{""query"": ""高中生物理考点精讲""}",edu_slow_search_data_search,"{""query"": ""高中生物理考点精讲""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""高中生物理考点精讲"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""education_qa""}",Y,Y,Y,,
46,education,按知识点查询,我要看化学质量守恒定律,edu_slow_search_data_search,"{""query"": ""我要看化学质量守恒定律""}",edu_slow_search_data_search,"{""query"": ""我要看化学质量守恒定律""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""我要看化学质量守恒定律"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""education_qa""}",Y,Y,Y,,
40,education,学科查询,高中语文课外内容,edu_slow_search_data_search,"{""query"": ""高中语文课外内容""}",edu_slow_search_data_search,"{""query"": ""高中语文课外内容""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""高中语文课外内容"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
43,education,学科查询,免费初中生物课程,edu_search,"{""_raw"": ""{\n  \""retext\"": \""免费初中生物课程\""\n  \""query\"": {\n    \""and\"": [\n      {\n        \""field\"": \""figures\"",\n        \""value\"": \""高中\""\n      },\n      {\n        \""field\"": \""first_subject\"",\n        \""value\"": \""生物\""\n      },\n      {\n        \""field\"": \""is_fee\"",\n        \""value\"": 0\n      },\n     {\n      \""field\"": \""k12_category\"",\n      \""values\"": [\""同步课\"", \""同步拓展课\""],\n      \""operator\"": \""or\""\n    }\n    ]\n  }\n}""}",edu_search,"{""query"": {""and"": [{""field"": ""figures"", ""value"": ""初中""}, {""field"": ""is_fee"", ""value"": 0}, {""field"": ""first_subject"", ""value"": ""生物""}, {""field"": ""k12_category"", ""operator"": ""or"", ""values"": [""同步课"", ""同步拓展课""]}]}}",Y,N,N,"_raw: gold=""{\n  \""retext\"": \""免费初中生物课程\""\n  \""query\"": {\n    \""and\"": [\n      {\n        \""field\"": \""figures\"",\n        \""value\"": \""高中\""\n      },\n      {\n        \""field\"": \""first_subject\"",\n        \""value\"": \""生物\""\n      },\n      {\n        \""field\"": \""is_fee\"",\n        \""value\"": 0\n      },\n     {\n      \""field\"": \""k12_category\"",\n      \""values\"": [\""同步课\"", \""同步拓展课\""],\n      \""operator\"": \""or\""\n    }\n    ]\n  }\n}"" pred=; query: gold= pred={""and"": [{""field"": ""figures"", ""value"": ""初中""}, {""field"": ""first_subject"", ""value"": ""生物""}, {""field"": ""is_fee"", ""value"": 0}, {""field"": ""k12_category"", ""operator"": ""or"", ""values"": [""同步拓展课"", ""同步课""]}]}",,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""免费初中生物课程"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""education_qa""}",Y,Y,Y,,
50,education,按知识点查询,我要看第一次鸦片战争相关的课程,edu_slow_search_data_search,"{""query"": ""我要看第一次鸦片战争相关的课程""}",edu_slow_search_data_search,"{""query"": ""我要看第一次鸦片战争相关的课程""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""我要看第一次鸦片战争相关的课程"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""education_qa""}",Y,Y,Y,,
