业务域,query,意图,期望工具,期望参数,是否合理,备注,业务备注,,,,,,,,,,,,
体育,格斗比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""格斗""}}",合理,,,,,,,,,,,,,,
体育,找个跳伞的比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""跳伞""}}",合理,,,,,,,,,,,,,,
体育,播放跳水比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""跳水""}}",合理,,,,,,,,,,,,,,
体育,进入文班亚马精彩进球集锦,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_star"", ""value"": ""文班亚马""}}",合理,,,,,,,,,,,,,,
体育,看下欧洲杯预选赛的视频,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""欧洲杯""}, {""field"": ""sport_competition_phase"", ""value"": ""预选赛""}]}}",合理,,,,,,,,,,,,,,
体育,麻烦播放个足球亚巡赛的视频,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""足球""}, {""field"": ""sport_game"", ""value"": ""亚巡赛""}]}}",合理,,,,,,,,,,,,,,
体育,找一下k联赛的比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""k联赛""}}",合理,,,,,,,,,,,,,,
体育,男子800米决赛视频,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""田径""}, {""field"": ""sport_competition_phase"", ""value"": ""决赛""}]}}",不合理,"应为{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""男子800米""}, {""field"": ""sport_competition_phase"", ""value"": ""决赛""}]}}",同意修改,,,,,,,,,,,,
体育,nba雄鹿比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""NBA""}, {""field"": ""sport_team"", ""value"": ""雄鹿""}]}}",合理,,,,,,,,,,,,,,
体育,搏击格斗的比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""格斗""}, {""field"": ""sport_name"", ""value"": ""搏击""}]}}",不合理,"按照标签知识应为{""query"": {""field"": ""sport_name"", ""value"": ""搏击格斗""}}",同意修改,,,,,,,,,,,,
体育,德甲今天的视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""德甲""}}",不合理,今天没有提取参数,同意,,,,,,,,,,,,
体育,世界杯视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""世界杯""}}",合理,,,,,,,,,,,,,,
体育,打开速度轮滑视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""速度轮滑""}}",合理,,,,,,,,,,,,,,
体育,搜索下欧联的比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""欧联""}}",不合理,"改写补全后query为搜索欧联杯的比赛视频，应为{""query"": {""field"": ""sport_game"", ""value"": ""欧联杯""}}",同意,,,,,,,,,,,,
体育,ac米兰的视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_team"", ""value"": ""ac米兰""}}",合理,,,,,,,,,,,,,,
体育,cba总决赛录像,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_game"", ""value"": ""CBA""}, {""field"": ""sport_competition_phase"", ""value"": ""总决赛""}]}}",合理,,,,,,,,,,,,,,
体育,找个自由体操比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""自由体操""}}",合理,,,,,,,,,,,,,,
体育,冰球的视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""冰球""}}",合理,,,,,,,,,,,,,,
体育,帮搜索法甲的集锦,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""法甲""}}",合理,,,,,,,,,,,,,,
体育,短跑比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""短跑""}}",合理,,,,,,,,,,,,,,
体育,搜索下亚冠的比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""亚冠""}}",合理,,,,,,,,,,,,,,
体育,关于皇马的球赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_team"", ""value"": ""皇马""}}",合理,,,,,,,,,,,,,,
体育,欧冠比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""欧冠""}}",合理,,,,,,,,,,,,,,
体育,赛车比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""赛车""}}",合理,,,,,,,,,,,,,,
体育,播放中超联赛的比赛视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""中超""}}",合理,,,,,,,,,,,,,,
体育,棒球比赛的视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""棒球""}}",合理,,,,,,,,,,,,,,
体育,麻烦搜索击剑回播,sports_match_search,sports_match_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""击剑""}, {""field"": ""live_state"", ""values"": [""3"", ""4""]}]}}",合理,,,,,,,,,,,,,,
体育,网球的视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_name"", ""value"": ""网球""}}",合理,,,,,,,,,,,,,,
体育,我看下羽毛球复赛视频,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""羽毛球""}, {""field"": ""sport_competition_phase"", ""value"": ""复赛""}]}}",合理,,,,,,,,,,,,,,
体育,打开库里投篮慢动作视频,sports_vod_search,sports_vod_search,"{""query"": {""and"": [{""field"": ""sport_name"", ""value"": ""篮球""}, {""field"": ""sport_star"", ""value"": ""库里""}]}}",不合理,投篮、慢动作都没有提参,当前线上只会提取出来(sport_star:库里),,,,,,,,,,,,
体育,观看澳网的视频,sports_vod_search,sports_vod_search,"{""query"": {""field"": ""sport_game"", ""value"": ""澳网""}}",合理,,,,,,,,,,,,,,
