row,domain,intent,query,gold_bright_tool,gold_bright_params,pred_bright_tool,pred_bright_params,bright_tool_ok,bright_param_ok,bright_both_ok,bright_param_diff,b_err,gold_off_tool,gold_off_params,pred_off_tool,pred_off_params,off_tool_ok,off_param_ok,off_both_ok,off_param_diff,o_err
68,music,歌曲检索-影视音乐同名,播放虫儿飞,vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""虫儿飞""}, ""retext"": ""播放虫儿飞""}",vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""虫儿飞""}, ""retext"": ""播放虫儿飞""}",Y,Y,Y,,,music_song_search,"{""retext"": ""播放虫儿飞"", ""song"": [""虫儿飞""]}",music_song_search,"{""retext"": ""播放虫儿飞"", ""song"": [""虫儿飞""]}",Y,Y,Y,,
69,music,歌曲检索-影视音乐同名,送你一朵小红花,vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""送你一朵小红花""}, ""retext"": ""送你一朵小红花""}",vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""送你一朵小红花""}, ""retext"": ""送你一朵小红花""}",Y,Y,Y,,,music_song_search,"{""retext"": ""送你一朵小红花"", ""song"": [""送你一朵小红花""]}",music_song_search,"{""retext"": ""送你一朵小红花"", ""song"": [""送你一朵小红花""]}",Y,Y,Y,,
70,music,歌曲检索-影视音乐同名,播放情深深雨濛濛,vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""觉醒年代""}, ""retext"": ""播放觉醒年代""}",vod_search,"{""action"": ""play"", ""query"": {""field"": ""title"", ""value"": ""情深深雨濛濛""}, ""retext"": ""播放情深深雨濛濛""}",Y,N,N,"query: gold={""field"": ""title"", ""value"": ""觉醒年代""} pred={""field"": ""title"", ""value"": ""情深深雨濛濛""}; retext: gold=""播放觉醒年代"" pred=""播放情深深雨濛濛""",,music_song_search,"{""retext"": ""播放情深深雨濛濛"", ""song"": [""情深深雨濛濛""]}",music_song_search,"{""retext"": ""播放情深深雨濛濛"", ""song"": [""情深深雨濛濛""]}",Y,Y,Y,,
75,music,歌曲检索,周杰伦的告白气球,music_song_search,"{""retext"": ""周杰伦的告白气球"", ""singer"": [""周杰伦""], ""song"": [""告白气球""]}",music_song_search,"{""retext"": ""周杰伦的告白气球"", ""singer"": [""周杰伦""], ""song"": [""告白气球""]}",Y,Y,Y,,,music_song_search,"{""retext"": ""周杰伦的告白气球"", ""singer"": [""周杰伦""], ""song"": [""告白气球""]}",music_song_search,"{""retext"": ""周杰伦的告白气球"", ""singer"": [""周杰伦""], ""song"": [""告白气球""]}",Y,Y,Y,,
76,music,歌曲检索,播放大鱼,music_song_search,"{""retext"": ""播放大鱼"", ""song"": [""大鱼""]}",music_song_search,"{""retext"": ""播放大鱼"", ""song"": [""大鱼""]}",Y,Y,Y,,,music_song_search,"{""retext"": ""播放大鱼"", ""song"": [""大鱼""]}",music_song_search,"{""retext"": ""播放大鱼"", ""song"": [""大鱼""]}",Y,Y,Y,,
66,music,歌手/乐队信息查询,Beyond（乐队）是哪年成立的,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""Beyond（乐队）是哪年成立的"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""Beyond（乐队）是哪年成立的"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
77,music,歌曲检索,放一首New jeans的歌,music_song_search,"{""retext"": ""放一首New jeans的歌"", ""singer"": [""New jeans""]}",music_song_search,"{""retext"": ""放一首New jeans的歌"", ""singer"": [""New jeans""]}",Y,Y,Y,,,music_song_search,"{""retext"": ""放一首New jeans的歌"", ""singer"": [""New jeans""]}",music_song_search,"{""retext"": ""放一首New jeans的歌"", ""singer"": [""New jeans""]}",Y,Y,Y,,
71,music,歌曲模糊检索,2026年春晚周深唱的歌,fan_knowledge_agent,,music_song_search,"{""retext"": ""2026年春晚周深唱的歌"", ""singer"": [""周深""]}",N,Y,N,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""2026年春晚周深唱的歌"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
67,music,歌手/乐队信息查询,这首歌演唱者的简介,fan_knowledge_agent,,music_song_search,"{""retext"": ""这首歌演唱者的简介""}",N,Y,N,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""这首歌演唱者的简介"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video""}",Y,Y,Y,,
63,music,歌曲基础信息查询,有哪些周杰伦作曲的歌？,fan_knowledge_agent,,music_song_search,"{""retext"": ""有哪些周杰伦作曲的歌？"", ""singer"": [""周杰伦""]}",N,Y,N,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""有哪些周杰伦作曲的歌？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
64,music,歌曲基础信息查询,兰亭序是谁写的词,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""兰亭序是谁写的词"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""兰亭序是谁写的词"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
81,music,儿歌检索,贝乐虎儿歌,educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""贝乐虎""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""贝乐虎儿歌""}",educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""贝乐虎""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""贝乐虎儿歌""}",Y,Y,Y,,,music_song_search,"{""ip"": [""贝乐虎""], ""retext"": ""贝乐虎儿歌"", ""tag"": [""儿歌""]}",music_song_search,"{""ip"": [""贝乐虎""], ""retext"": ""贝乐虎儿歌"", ""tag"": [""儿歌""]}",Y,Y,Y,,
82,music,儿歌检索,小兔子乖乖儿歌,educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""小兔子乖乖""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""小兔子乖乖儿歌""}",educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""小兔子乖乖""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""小兔子乖乖儿歌""}",Y,Y,Y,,,music_song_search,"{""retext"": ""小兔子乖乖儿歌"", ""song"": [""小兔子乖乖""], ""tag"": [""儿歌""]}",music_song_search,"{""retext"": ""小兔子乖乖儿歌"", ""song"": [""小兔子乖乖""], ""tag"": [""儿歌""]}",Y,Y,Y,,
65,music,歌手/乐队信息查询,邓紫棋的简介,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""邓紫棋的简介"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""邓紫棋的简介"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
83,music,儿歌检索,英语启蒙儿歌,educ_search,"{""query"": {""field"": ""title"", ""value"": ""英语启蒙儿歌""}, ""retext"": ""英语启蒙儿歌""}",educ_search,"{""query"": {""field"": ""title"", ""value"": ""英语启蒙儿歌""}, ""retext"": ""英语启蒙儿歌""}",Y,Y,Y,,,music_song_search,"{""retext"": ""英语启蒙儿歌"", ""song"": [""启蒙儿歌""], ""tag"": [""英语""]}",music_song_search,"{""retext"": ""英语启蒙儿歌"", ""song"": [""启蒙儿歌""], ""tag"": [""英语""]}",Y,Y,Y,,
62,music,歌曲基础信息查询,找自己这首歌是谁唱的,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""找自己这首歌是谁唱的"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""找自己这首歌是谁唱的"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
74,music,歌曲模糊检索,放首孙燕姿治愈系的歌,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""放首孙燕姿治愈系的歌"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""放首孙燕姿治愈系的歌"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
72,music,歌曲模糊检索,适合睡前听的歌,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""适合睡前听的歌"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""适合睡前听的歌"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
79,music,专辑信息查询,周杰伦的《七里香》专辑是哪年出的？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""周杰伦的《七里香》专辑是哪年出的？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""周杰伦的《七里香》专辑是哪年出的？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,
80,music,专辑信息查询,《黑色风暴》这首歌所在专辑是什么,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《黑色风暴》这首歌所在专辑是什么"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《黑色风暴》这首歌所在专辑是什么"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,
73,music,歌曲模糊检索,天赐的声音里面比较好听的歌曲,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""天赐的声音里面比较好听的歌曲"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""天赐的声音里面比较好听的歌曲"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,
