域,row,intent,query,gold_tool,gold_params,pred_tool,pred_params,tool_ok,param_ok,both_ok,param_diff
音乐,音乐5,music_song_qqmusic_search,播放QQ音乐恐龙抗狼,music_song_qqmusic_search,"{""keywords"": [""恐龙抗狼""], ""retext"": ""播放QQ音乐恐龙抗狼""}",music_song_qqmusic_search,"{""keywords"": [""恐龙抗狼""], ""retext"": ""播放QQ音乐恐龙抗狼""}",Y,Y,Y,
音乐,音乐2,music_kg_ksong_search,K歌潮湿的心,music_ksong_search,"{""retext"": ""K歌潮湿的心"", ""song"": [""潮湿的心""]}",music_ksong_search,"{""retext"": ""K歌潮湿的心"", ""song"": [""潮湿的心""]}",Y,Y,Y,
音乐,音乐3,music_kg_ksong_search,K歌上山岗龙飘飘,music_ksong_search,"{""retext"": ""K歌上山岗龙飘飘"", ""singer"": [""龙飘飘""], ""song"": [""上山岗""]}",music_ksong_search,"{""retext"": ""K歌上山岗龙飘飘"", ""singer"": [""龙飘飘""], ""song"": [""上山岗""]}",Y,Y,Y,
音乐,音乐4,music_song_mv_search,"播放""而我将爱你所爱的人间，愿你所愿的笑颜""这首歌的视频",music_song_mv_search,"{""lyrics"": [""而我将爱你所爱的人间愿你所愿的笑颜""], ""retext"": ""播放\""而我将爱你所爱的人间，愿你所愿的笑颜\""这首歌的视频""}",music_song_mv_search,"{""lyrics"": [""而我将爱你所爱的人间愿你所愿的笑颜""], ""retext"": ""播放\""而我将爱你所爱的人间，愿你所愿的笑颜\""这首歌的视频""}",Y,Y,Y,
音乐,音乐6,music_song_qqmusic_search,播放QQ音乐上的流行歌曲,music_song_qqmusic_search,"{""keywords"": [""热门""], ""retext"": ""播放QQ音乐上的流行歌曲""}",music_song_qqmusic_search,"{""keywords"": [""热门""], ""retext"": ""播放QQ音乐上的流行歌曲""}",Y,Y,Y,
音乐,音乐7,music_song_mv_search,播放李贞贤mv,music_song_mv_search,"{""retext"": ""播放李贞贤mv"", ""singer"": [""李贞贤""]}",music_song_mv_search,"{""retext"": ""播放李贞贤mv"", ""singer"": [""李贞贤""]}",Y,Y,Y,
音乐,音乐8,music_song_mv_search,播放视频版凤凰花开的路口,music_song_mv_search,"{""retext"": ""播放视频版凤凰花开的路口"", ""song"": [""凤凰花开的路口""]}",music_song_mv_search,"{""retext"": ""播放视频版凤凰花开的路口"", ""song"": [""凤凰花开的路口""]}",Y,Y,Y,
音乐,音乐9,music_song_mv_search,播放泰坦尼克号的歌曲视频,music_song_mv_search,"{""ip"": [""泰坦尼克号""], ""retext"": ""播放泰坦尼克号的歌曲视频""}",music_song_mv_search,"{""ip"": [""泰坦尼克号""], ""retext"": ""播放泰坦尼克号的歌曲视频""}",Y,Y,Y,
音乐,音乐10,music_song_mv_search,播放天地龙鳞mv,music_song_mv_search,"{""retext"": ""播放天地龙鳞mv"", ""song"": [""天地龙鳞""]}",music_song_mv_search,"{""retext"": ""播放天地龙鳞mv"", ""song"": [""天地龙鳞""]}",Y,Y,Y,
音乐,音乐11,music_song_mv_search,播放周杰伦女儿殿下MV,music_song_mv_search,"{""retext"": ""播放周杰伦女儿殿下MV"", ""singer"": [""周杰伦""], ""song"": [""女儿殿下""]}",music_song_mv_search,"{""retext"": ""播放周杰伦女儿殿下MV"", ""singer"": [""周杰伦""], ""song"": [""女儿殿下""]}",Y,Y,Y,
音乐,音乐14,music_kg_ksong_search,唱个戏卷席筒,music_ksong_search,"{""retext"": ""唱个戏卷席筒"", ""song"": [""卷席筒""]}",music_ksong_search,"{""retext"": ""唱个戏卷席筒"", ""song"": [""卷席筒""]}",Y,Y,Y,
音乐,音乐13,music_kg_ksong_search,唱阿云朵的最真的梦,music_ksong_search,"{""retext"": ""唱阿云朵的最真的梦"", ""singer"": [""阿云朵""], ""song"": [""最真的梦""]}",music_ksong_search,"{""retext"": ""唱阿云朵的最真的梦"", ""singer"": [""阿云朵""], ""song"": [""最真的梦""]}",Y,Y,Y,
音乐,音乐15,music_kg_ksong_search,唱孙悦的歌,music_ksong_search,"{""retext"": ""唱孙悦的歌"", ""singer"": [""孙悦""]}",music_ksong_search,"{""retext"": ""唱孙悦的歌"", ""singer"": [""孙悦""]}",Y,Y,Y,
音乐,音乐19,music_song_mv_search,歌曲热搜榜MV,fan_knowledge_agent,,fan_knowledge_agent,"{""query"": ""搜索热搜榜歌曲的MV""}",Y,Y,Y,
音乐,音乐12,music_song_mv_search,播放自由飞翔音乐视频,music_song_mv_search,"{""retext"": ""播放自由飞翔音乐视频"", ""song"": [""自由飞翔""]}",music_song_mv_search,"{""retext"": ""播放自由飞翔音乐视频"", ""song"": [""自由飞翔""]}",Y,Y,Y,
音乐,音乐16,music_kg_ksong_search,唱豫剧穆桂英下山,music_ksong_search,"{""retext"": ""唱豫剧穆桂英下山"", ""song"": [""穆桂英下山""], ""tag"": [""豫剧""]}",music_ksong_search,"{""retext"": ""唱豫剧穆桂英下山"", ""song"": [""穆桂英下山""], ""tag"": [""豫剧""]}",Y,Y,Y,
音乐,音乐17,music_kg_ksong_search,唱再遇梨花颂杨钰莹,music_ksong_search,"{""retext"": ""唱再遇梨花颂杨钰莹"", ""singer"": [""杨钰莹""], ""song"": [""再遇梨花颂""]}",music_ksong_search,"{""retext"": ""唱再遇梨花颂杨钰莹"", ""singer"": [""杨钰莹""], ""song"": [""再遇梨花颂""]}",Y,Y,Y,
音乐,音乐18,music_kg_ksong_search,点一首周传雄免费的歌,music_ksong_search,"{""retext"": ""点一首周传雄免费的歌"", ""singer"": [""周传雄""], ""version"": [""免费版""]}",music_ksong_search,"{""retext"": ""点一首周传雄免费的歌"", ""singer"": [""周传雄""], ""version"": [""免费版""]}",Y,Y,Y,
音乐,音乐20,music_kg_ksong_search,嗯唱一个落花,music_ksong_search,"{""retext"": ""嗯唱一个落花"", ""song"": [""落花""]}",music_ksong_search,"{""retext"": ""嗯唱一个落花"", ""song"": [""落花""]}",Y,Y,Y,
音乐,音乐21,music_song_mv_search,搜索谢娜参演的MV视频,music_song_mv_search,"{""retext"": ""搜索谢娜参演的MV视频"", ""singer"": [""谢娜""]}",music_song_mv_search,"{""retext"": ""搜索谢娜参演的MV视频"", ""singer"": [""谢娜""]}",Y,Y,Y,
音乐,音乐22,music_kg_ksong_search,我想唱蔡琴的你的眼神,music_ksong_search,"{""retext"": ""我想唱蔡琴的你的眼神"", ""singer"": [""蔡琴""], ""song"": [""你的眼神""]}",music_ksong_search,"{""retext"": ""我想唱蔡琴的你的眼神"", ""singer"": [""蔡琴""], ""song"": [""你的眼神""]}",Y,Y,Y,
音乐,音乐23,music_kg_ksong_search,我想唱李荣浩的歌曲,music_ksong_search,"{""retext"": ""我想唱李荣浩的歌曲"", ""singer"": [""李荣浩""]}",music_ksong_search,"{""retext"": ""我想唱李荣浩的歌曲"", ""singer"": [""李荣浩""]}",Y,Y,Y,
音乐,音乐29,music_song_mv_search,我要听mv,music_song_mv_search,"{""retext"": ""我要听mv""}",music_song_mv_search,"{""retext"": ""我要听mv""}",Y,Y,Y,
音乐,音乐25,music_song_mv_search,我想看王蓉的MV,music_song_mv_search,"{""retext"": ""我想看王蓉的MV"", ""singer"": [""王蓉""]}",music_song_mv_search,"{""retext"": ""我想看王蓉的MV"", ""singer"": [""王蓉""]}",Y,Y,Y,
音乐,音乐26,music_kg_ksong_search,我要唱不要钱的猪猪侠,music_ksong_search,"{""retext"": ""我要唱不要钱的猪猪侠"", ""song"": [""猪猪侠""], ""version"": [""免费版""]}",music_ksong_search,"{""retext"": ""我要唱不要钱的猪猪侠"", ""song"": [""猪猪侠""], ""version"": [""免费版""]}",Y,Y,Y,
音乐,音乐24,music_song_mv_search,我想看国庆节歌曲的MV,music_song_mv_search,"{""retext"": ""我想看国庆节歌曲的MV"", ""tag"": [""国庆节""]}",music_song_mv_search,"{""retext"": ""我想看国庆节歌曲的MV"", ""tag"": [""国庆节""]}",Y,Y,Y,
音乐,音乐30,music_song_search,播放小马宝莉全歌版,music_song_search,"{""ip"": [""小马宝莉""], ""retext"": ""播放小马宝莉全歌版""}",music_song_search,"{""ip"": [""小马宝莉""], ""retext"": ""播放小马宝莉全歌版""}",Y,Y,Y,
音乐,音乐28,music_kg_ksong_search,我要唱这一生还有多少遗憾,music_ksong_search,"{""retext"": ""我要唱这一生还有多少遗憾"", ""song"": [""这一生能有多少的遗憾""]}",music_ksong_search,"{""retext"": ""我要唱这一生还有多少遗憾"", ""song"": [""这一生能有多少的遗憾""]}",Y,Y,Y,
