域,row,intent,query,gold_tool,gold_params,pred_tool,pred_params,tool_ok,param_ok,both_ok,param_diff
有声,有声2,audio_history,我这几天听过的音频内容,audio_history,"{""action"": ""search""}",audio_history,"{""action"": ""search""}",Y,Y,Y,
有声,有声3,audio_history,我收听的广播剧播放记录,audio_history,"{""action"": ""search"", ""category"": ""广播剧""}",audio_history,"{""action"": ""search"", ""category"": ""广播剧""}",Y,Y,Y,
有声,有声7,audio_history,我的听书记录,audio_history,"{""action"": ""search""}",audio_history,"{""action"": ""search""}",Y,Y,Y,
有声,有声4,audio_history,继续播放我昨晚听的儿童睡前故事,audio_history,"{""action"": ""play"", ""time"": ""2026-08-23 00:00:00 TO 2026-08-23 23:59:59""}",audio_history,"{""action"": ""play"", ""time"": ""2026-08-23 00:00:00 TO 2026-08-23 23:59:59""}",Y,Y,Y,
有声,有声5,audio_history,打开刚才听的那个小猪佩奇音频内容,audio_history,"{""action"": ""play""}",audio_history,"{""action"": ""play""}",Y,Y,Y,
有声,有声6,audio_history,我听过的有声书,audio_history,"{""action"": ""search"", ""category"": ""有声书""}",audio_history,"{""action"": ""search"", ""category"": ""有声书""}",Y,Y,Y,
有声,有声8,audio_history,查看有声播放历史记录,audio_history,"{""action"": ""search""}",audio_history,"{""action"": ""search""}",Y,Y,Y,
有声,有声9,audio_history,音频的收听历史记录,audio_history,"{""action"": ""search""}",audio_history,"{""action"": ""search""}",Y,Y,Y,
有声,有声10,audio_history,打开有声播放历史,audio_history,"{""action"": ""play""}",audio_history,"{""action"": ""play""}",Y,Y,Y,
有声,有声11,audio_history,查看有声播放历史,audio_history,"{""action"": ""search""}",audio_history,"{""action"": ""search""}",Y,Y,Y,
有声,有声13,audio_history,请播放有声收听历史,audio_history,"{""action"": ""play""}",audio_history,"{""action"": ""play""}",Y,Y,Y,
有声,有声12,audio_history,我收听的音频播放记录,audio_history,"{""action"": ""search""}",audio_history,"{""action"": ""search""}",Y,Y,Y,
有声,有声15,audio_history,我想听我最近听过的有声书,audio_history,"{""action"": ""play"", ""category"": ""有声书""}",audio_history,"{""action"": ""play"", ""category"": ""有声书""}",Y,Y,Y,
有声,有声14,audio_history,一周内听过的广播剧,audio_history,"{""action"": ""search"", ""category"": ""广播剧"", ""time"": ""2026-07-18 00:00:00 TO 2026-08-24 23:59:59""}",audio_history,"{""action"": ""search"", ""category"": ""广播剧"", ""time"": ""2026-07-18 00:00:00 TO 2026-08-24 23:59:59""}",Y,Y,Y,
有声,有声16,audio_search,我要听将门毒后,audio_search,"{""action"": ""play"", ""query"": ""我要听将门毒后""}",audio_search,"{""action"": ""play"", ""query"": ""我要听将门毒后""}",Y,Y,Y,
有声,有声17,audio_search,播放三体广播剧,audio_search,"{""action"": ""play"", ""query"": ""播放三体广播剧""}",audio_search,"{""action"": ""play"", ""query"": ""播放三体广播剧""}",Y,Y,Y,
有声,有声18,audio_search,搜一下叫夜访吸血鬼的有声书,audio_search,"{""action"": ""search"", ""query"": ""搜一下叫夜访吸血鬼的有声书""}",audio_search,"{""action"": ""search"", ""query"": ""搜一下叫夜访吸血鬼的有声书""}",Y,Y,Y,
有声,有声20,audio_search,找百年孤独的有声书,audio_search,"{""action"": ""search"", ""query"": ""找百年孤独的有声书""}",audio_search,"{""action"": ""search"", ""query"": ""找百年孤独的有声书""}",Y,Y,Y,
有声,有声19,audio_search,有没有射雕英雄传的有声版,audio_search,"{""action"": ""search"", ""query"": ""有没有射雕英雄传的有声版""}",audio_search,"{""action"": ""search"", ""query"": ""有没有射雕英雄传的有声版""}",Y,Y,Y,
有声,有声21,audio_search,喜马拉雅播放小说将后毒妃,audio_search,"{""action"": ""play"", ""query"": ""喜马拉雅播放小说将后毒妃""}",audio_search,"{""action"": ""play"", ""query"": ""喜马拉雅播放小说将后毒妃""}",Y,Y,Y,
有声,有声25,audio_search,我想听格局音频,audio_search,"{""action"": ""play"", ""query"": ""我想听格局音频""}",audio_search,"{""action"": ""play"", ""query"": ""我想听格局音频""}",Y,Y,Y,
有声,有声24,audio_search,听嘟嘟说笑话,audio_search,"{""action"": ""play"", ""query"": ""听嘟嘟说笑话""}",audio_search,"{""action"": ""play"", ""query"": ""听嘟嘟说笑话""}",Y,Y,Y,
