row,domain,intent,query,gold_bright_tool,gold_bright_params,pred_bright_tool,pred_bright_params,bright_tool_ok,bright_param_ok,bright_both_ok,bright_param_diff,b_err,gold_off_tool,gold_off_params,pred_off_tool,pred_off_params,off_tool_ok,off_param_ok,off_both_ok,off_param_diff,o_err
19,children,少儿问答,小猪佩奇今年多大了？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""小猪佩奇今年多大了？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""child""}",Y,Y,Y,,,fan_knowledge_agent,,educ_search_all,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""小猪佩奇""}, {""field"": ""release_time"", ""from"": ""20260101"", ""to"": ""20261231""}]}, ""retext"": ""小猪佩奇今年多大了？""}",N,Y,N,,
20,children,少儿问答,海底小纵队里谁是队长,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""海底小纵队里谁是队长"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,educ_search,"{""query"": {""field"": ""title"", ""value"": ""海底小纵队""}, ""retext"": ""海底小纵队里谁是队长""}",N,Y,N,,
25,children,少儿问答,超级飞侠的总部在哪里？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""超级飞侠的总部在哪里？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""超级飞侠的总部在哪里？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
30,children,儿歌搜索,巴士儿歌,educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""巴士""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""巴士儿歌""}",educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""巴士""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""巴士儿歌""}",Y,Y,Y,,,music_song_search,"{""retext"": ""巴士儿歌"", ""song"": [""巴士""], ""tag"": [""儿歌""]}",music_song_search,"{""retext"": ""巴士儿歌"", ""song"": [""巴士""], ""tag"": [""儿歌""]}",Y,Y,Y,,
31,children,儿歌搜索,拔萝卜儿歌,educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""拔萝卜""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""拔萝卜儿歌""}",educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""拔萝卜""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""拔萝卜儿歌""}",Y,Y,Y,,,music_song_search,"{""retext"": ""拔萝卜儿歌"", ""song"": [""拔萝卜""], ""tag"": [""儿歌""]}",music_song_search,"{""retext"": ""拔萝卜儿歌"", ""song"": [""拔萝卜""], ""tag"": [""儿歌""]}",Y,Y,Y,,
32,children,儿歌搜索,白龙马儿歌,educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""白龙马""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""白龙马儿歌""}",educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""白龙马""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""白龙马儿歌""}",Y,Y,Y,,,music_song_search,"{""retext"": ""白龙马儿歌"", ""tag"": [""儿歌"", ""白龙马""]}",music_song_search,"{""retext"": ""白龙马儿歌"", ""tag"": [""儿歌"", ""白龙马""]}",Y,Y,Y,,
33,children,儿歌搜索,宝宝巴士儿歌免费,educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""宝宝巴士儿歌""}, {""field"": ""is_fee"", ""value"": 0}]}, ""retext"": ""宝宝巴士儿歌免费""}",educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""宝宝巴士儿歌""}, {""field"": ""is_fee"", ""value"": 0}]}, ""retext"": ""宝宝巴士儿歌免费""}",Y,Y,Y,,,music_song_search,"{""_raw"": ""{\""retext\"":\""宝宝巴士儿歌免费\"",\""version\"":[\""免费版\""],\""tag\"":[宝宝巴士儿歌]}""}",music_song_search,"{""retext"": ""宝宝巴士儿歌免费"", ""tag"": [""宝宝巴士儿歌""], ""version"": [""免费版""]}",Y,N,N,"_raw: gold=""{\""retext\"":\""宝宝巴士儿歌免费\"",\""version\"":[\""免费版\""],\""tag\"":[宝宝巴士儿歌]}"" pred=; retext: gold= pred=""宝宝巴士儿歌免费""; tag: gold= pred=[""宝宝巴士儿歌""]; version: gold= pred=[""免费版""]",
26,children,少儿问答,熊出没主要讲了什么故事,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""熊出没主要讲了什么故事"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,educ_fuzzy_search,"{""query"": ""熊出没主要讲了什么故事""}",N,Y,N,,
36,children,儿歌搜索,播放儿歌爸爸妈妈去上班,educ_search,"{""_raw"": ""{\n    \""retext\"": \""播放儿歌爸爸妈妈去上班\"",\n    \""query\"": {\n        \""and\"": [\n            {\n                \""field\"": \""title\"",\n                \""value\"": \""爸爸妈妈去上班\""\""\n            },\n            {\n                \""field\"": \""children_second_genre\"",\n                \""value\"": \""儿歌\""\n            }\n        ]\n    }\n}""}",educ_search,"{""query"": {""and"": [{""field"": ""title"", ""value"": ""爸爸妈妈去上班""}, {""field"": ""children_second_genre"", ""value"": ""儿歌""}]}, ""retext"": ""播放儿歌爸爸妈妈去上班""}",Y,N,N,"_raw: gold=""{\n    \""retext\"": \""播放儿歌爸爸妈妈去上班\"",\n    \""query\"": {\n        \""and\"": [\n            {\n                \""field\"": \""title\"",\n                \""value\"": \""爸爸妈妈去上班\""\""\n            },\n            {\n                \""field\"": \""children_second_genre\"",\n                \""value\"": \""儿歌\""\n            }\n        ]\n    }\n}"" pred=; query: gold= pred={""and"": [{""field"": ""children_second_genre"", ""value"": ""儿歌""}, {""field"": ""title"", ""value"": ""爸爸妈妈去上班""}]}; retext: gold= pred=""播放儿歌爸爸妈妈去上班""",,music_song_search,"{""retext"": ""播放儿歌爸爸妈妈去上班"", ""song"": [""爸爸妈妈去上班""], ""tag"": [""儿歌""]}",music_song_search,"{""retext"": ""播放儿歌爸爸妈妈去上班"", ""song"": [""爸爸妈妈去上班""], ""tag"": [""儿歌""]}",Y,Y,Y,,
35,children,儿歌搜索,播放不花钱的儿歌,educ_search,"{""query"": {""and"": [{""field"": ""children_second_genre"", ""value"": ""儿歌""}, {""field"": ""is_fee"", ""value"": 0}]}, ""retext"": ""播放不花钱的儿歌""}",educ_search,"{""query"": {""and"": [{""field"": ""children_second_genre"", ""value"": ""儿歌""}, {""field"": ""is_fee"", ""value"": 0}]}, ""retext"": ""播放不花钱的儿歌""}",Y,Y,Y,,,music_song_search,"{""retext"": ""播放不花钱的儿歌"", ""tag"": [""儿歌""], ""version"": [""免费的""]}",music_song_search,"{""retext"": ""播放不花钱的儿歌"", ""tag"": [""儿歌""], ""version"": [""免费的""]}",Y,Y,Y,,
