row,domain,intent,query,gold_bright_tool,gold_bright_params,pred_bright_tool,pred_bright_params,bright_tool_ok,bright_param_ok,bright_both_ok,bright_param_diff,b_err,gold_off_tool,gold_off_params,pred_off_tool,pred_off_params,off_tool_ok,off_param_ok,off_both_ok,off_param_diff,o_err
2,vod,影视问答,辛芷蕾凭借哪部影片获得了威尼斯影后,fan_knowledge_agent,,vod_search,"{""action"": ""search"", ""query"": {""and"": [{""field"": ""actor"", ""value"": ""辛芷蕾""}, {""field"": ""prize"", ""value"": ""威尼斯影后""}]}, ""retext"": ""辛芷蕾凭借哪部影片获得了威尼斯影后""}",N,Y,N,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""辛芷蕾凭借哪部影片获得了威尼斯影后"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video""}",Y,Y,Y,,
9,vod,影视问答,《漫长的季节》讲了什么？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《漫长的季节》讲了什么？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《漫长的季节》讲了什么？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
8,vod,影视问答,《我是歌手》最新一期什么时候播？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《我是歌手》最新一期什么时候播？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《我是歌手》最新一期什么时候播？"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""agent_music""}",Y,Y,Y,,
4,vod,影视问答,甄嬛传沈眉庄扮演者是谁,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""甄嬛传沈眉庄扮演者是谁"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""甄嬛传沈眉庄扮演者是谁"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video""}",Y,Y,Y,,
14,vod,搜索影视切片,祁同伟吞枪自尽那个片段,vod_fuzzy_search,"{""query"": ""祁同伟吞枪自尽那个片段""}",vod_fuzzy_search,"{""query"": ""祁同伟吞枪自尽那个片段""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""祁同伟吞枪自尽那个片段"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
6,vod,影视问答,《甄嬛传》演员表,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《甄嬛传》演员表"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《甄嬛传》演员表"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video""}",Y,Y,Y,,
17,vod,搜索影视切片,无间道天台对决的片段,vod_fuzzy_search,"{""query"": ""无间道天台对决的片段""}",vod_fuzzy_search,"{""query"": ""无间道天台对决的片段""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""无间道天台对决的片段"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
3,vod,影视问答,中国香港票房最高的影片是哪部,fan_knowledge_agent,,vod_fuzzy_search,"{""query"": ""中国香港票房最高的影片是哪部""}",N,Y,N,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""中国香港票房最高的影片是哪部"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""video""}",Y,Y,Y,,
7,vod,影视问答,《再见爱人第五季》有哪些值得关注的短评？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《再见爱人第五季》有哪些值得关注的短评？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""《再见爱人第五季》有哪些值得关注的短评？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
11,vod,搜索影视切片,我要看高启强认干爹那个片段,vod_fuzzy_search,"{""query"": ""我要看高启强认干爹那个片段""}",vod_fuzzy_search,"{""query"": ""我要看高启强认干爹那个片段""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""我要看高启强认干爹那个片段"", ""role"": ""user""}], ""need_media"": true, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
10,vod,影视问答,获得金鸡奖最佳女主角的是谁？,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""获得金鸡奖最佳女主角的是谁？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""获得金鸡奖最佳女主角的是谁？"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
12,vod,搜索影视切片,甄嬛在倚梅园许愿那个片段,vod_fuzzy_search,"{""query"": ""甄嬛在倚梅园许愿那个片段""}",vod_fuzzy_search,"{""query"": ""甄嬛在倚梅园许愿那个片段""}",Y,Y,Y,,,fan_knowledge_agent,,fan_knowledge_agent,"{""messages"": [{""content"": ""甄嬛在倚梅园许愿那个片段"", ""role"": ""user""}], ""need_media"": false, ""riskRespStrategy"": ""all_replace"", ""sceneType"": ""knowledge_qa""}",Y,Y,Y,,
