row,domain_cn,query,gold_tool,gold_params,pred_tool,pred_params,tool_ok,param_ok,joint_ok,n_plan,retries_used,latency_ms
影视123,影视,结合我的喜好推荐电视剧,vod_personalized_search,"{""category"": ""电视剧""}",execute,"{""query"": ""结合我的喜好推荐电视剧""}",False,False,False,1,1,400.0
影视122,影视,根据我的兴趣推荐几部剧,vod_personalized_search,"{""category"": ""电视剧""}",execute,"{""query"": ""根据我的兴趣推荐几部剧""}",False,False,False,1,1,512.4
影视61,影视,播安徽民间小调,vod_search,"{""action"": ""play"", ""retext"": ""播安徽民间小调"", ""query"": {""field"": ""title"", ""value"": ""安徽民间小调""}}",music_song_search,"{""retext"": ""播安徽民间小调""}",False,False,False,1,1,781.3
影视107,影视,播放深情眼泰语版,vod_search_all,"{""action"": ""play"", ""retext"": ""播放深情眼泰语版"", ""query"": {""and"": [{""field"": ""title"", ""value"": ""深情眼""}, {""field"": ""language"", ""value"": ""泰语""}]}}",music_song_search,"{""retext"": ""播放深情眼泰语版""}",False,False,False,1,1,931.9
影视110,影视,我想看电影，不要刘德华的，不要香港的，不要动作的,vod_search_all,"{""action"": ""search"", ""retext"": ""我想看电影，不要刘德华的，不要香港的，不要动作的"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电影""}, {""not"": {""or"": [{""field"": ""actor"", ""value"": ""刘德华""}, {""field"": ""area"", ""value"": ""香港""}, {""field"": ""tag"", ""value"": ""动作""}]}}]}}",execute,"{""query"": ""我想看电影，不要刘德华的，不要香港的，不要动作的""}",False,False,False,1,1,938.5
影视125,影视,按我的口味推荐电影,vod_personalized_search,"{""category"": ""电影""}",execute,"{""query"": ""按我的口味推荐电影""}",False,False,False,1,1,544.7
影视126,影视,请根据我的喜好，来给我推荐影片,vod_personalized_search,"{""category"": ""电影""}",execute,"{""query"": ""请根据我的喜好，来给我推荐影片""}",False,False,False,1,1,642.1
影视139,影视,我想看视频,vod_fuzzy_search,"{""query"": ""我想看视频""}",execute,"{""query"": ""我想看视频""}",False,True,False,1,1,305.9
影视28,影视,光线传媒2025年有哪些电影,vod_search_all,"{""action"": ""search"", ""retext"": ""光线传媒2025年有哪些电影"", ""query"": {""and"": [{""field"": ""company"", ""value"": ""光线传媒""}, {""field"": ""category"", ""value"": ""电影""}, {""field"": ""release_time"", ""from"": ""20250101"", ""to"": ""20251231""}]}}",vod_search_all,"{""action"": ""search"", ""retext"": ""光线传媒2025年有哪些电影"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电影""}, {""field"": ""company"", ""value"": ""光线传媒""}, {""field"": ""release_time"", ""from"": ""20250101"", ""to"": ""20251231""}]}}",True,True,True,1,1,1533.6
影视48,影视,奥斯卡获奖的影片,vod_search,"{""action"": ""search"", ""retext"": ""奥斯卡获奖的影片"", ""query"": {""and"": [{""field"": ""prize"", ""value"": ""奥斯卡""}, {""field"": ""category"", ""value"": ""电影""}]}}",vod_search,"{""action"": ""search"", ""retext"": ""奥斯卡获奖的影片"", ""query"": {""and"": [{""field"": ""category"", ""value"": ""电影""}, {""field"": ""prize"", ""value"": ""奥斯卡""}]}}",True,True,True,1,1,1655.5
